source,target,key,relationship_type,layer,confidence,trial_id,evidence_text,direction,temporal_marker
Hannix femme Demenge Martin,Zabel femme Claudon Ozenatte,0,CO_WITNESS,co_presence,0.5,w031,Both witnessed in w031,undirected,
Hannix femme Demenge Martin,Catherine femme Demenge Tocquart,0,CO_WITNESS,co_presence,0.5,w031,Both witnessed in w031,undirected,
Paccatte femme Remy Claudon Bustal,"B 2583 no 1; witch 015, Chretienne fille Jean Parmentier de l'Estraye",0,TESTIFIED_AGAINST,accusation,0.95,w015,Witness 4 in trial w015,directed,1624.0
Paccatte femme Remy Claudon Bustal,Honn Nicolas Godel,0,CO_WITNESS,co_presence,0.5,w015,Both witnessed in w015,undirected,
B 8979 no 3; witch 326,Ydatte Marchal,0,CO_ACCUSED,co_presence,0.9,w326,Co-accused in w326,undirected,1609.0
B 8979 no 3; witch 326,femme Humbert Waulthier,0,CO_ACCUSED,co_presence,0.9,w326,Co-accused in w326,undirected,1609.0
B 8979 no 3; witch 326,de St Nicolas,0,CO_ACCUSED,co_presence,0.9,w326,Co-accused in w326,undirected,1609.0
Mengeotte femme Mengeon Jacquot Fery,"B 8687 no 8; witch 206, Aley femme Jean Perrin, du Mesnil",0,TESTIFIED_AGAINST,accusation,0.95,w206,Witness 6 in trial w206,directed,1599.0
Mengeotte femme Mengeon Jacquot Fery,Alizon veuve Claudon Durand,0,CO_WITNESS,co_presence,0.5,w206,Both witnessed in w206,undirected,
Mengeotte femme Mengeon Jacquot Fery,Catherine femme Mengeon Jean Arnoulx,0,CO_WITNESS,co_presence,0.5,w206,Both witnessed in w206,undirected,
Mengeotte femme Mengeon Jacquot Fery,Claudatte femme Claudon Ferry,0,CO_WITNESS,co_presence,0.5,w206,Both witnessed in w206,undirected,
Mengeotte femme Mengeon Jacquot Fery,Jean Arnoulx,0,CO_WITNESS,co_presence,0.5,w206,Both witnessed in w206,undirected,
Francois Farrant du Grand Rombach,"B 9554 no 3; witch 333, Jeanne femme Alois Humbert du Grand Rombach",0,TESTIFIED_AGAINST,accusation,0.95,w333,Witness 1 in trial w333,directed,1581.0
Francois Farrant du Grand Rombach,Jean de Barrois bourgeois du Grand Rombach,0,CO_WITNESS,co_presence,0.5,w333,Both witnessed in w333,undirected,
