name,canonical_id,entity_type,gender,outcome,locations,num_trial_appearances,is_super_witness,became_accused
didon la sorette le jeune,E00299,witness,unknown,,[],1,False,False
jean ranarre pelletier bourgeois,E00300,witness,male,,['Blamont'],1,False,False
francois pelletier le jeune,E00301,witness,unknown,,['Beze'],2,False,False
jean menusier,E00302,witness,male,,[],4,True,False
gaitte au sieur nicolas gellée,E00303,witness,female,,[],1,False,False
claudine jean cunelier,E00304,witness,female,,[],1,False,False
claudatte didier mengin,E00305,witness,female,,[],1,False,False
claudon mongin cordonnier,E00306,witness,male,,[],1,False,False
jeanne claudon mengin,E00307,witness,female,,[],1,False,False
mre. rené le cerf,E00308,witness,unknown,,[],1,False,False
sabillon didier,E00309,witness,female,,['Dompierre'],1,False,False
sebille cloutier colas bourdaine,E00310,witness,female,,['Mouriviller'],4,True,False
barbelline jean bouchat,E00311,witness,female,,['Barrois'],2,False,False
jean mongenat portier,E00312,witness,male,,['Blamont'],1,False,False
dieudonnée nicolas thiebault,E00313,witness,female,,[],4,True,False
claudatte jean pina,E00314,witness,female,,"['Champ', 'Espinal']",4,True,False
sebille jean mercier,E00315,witness,female,,[],1,False,False
didier l'enguesse,E00316,witness,unknown,,[],1,False,False
jean cherrier cordonnier bourgeois,E00317,witness,male,,['Blamont'],3,True,False
pierson poutier bourgeois,E00318,witness,unknown,,['Blamont'],1,False,False
marguerite nicolas humbert dit,E00319,witness,female,,['Serceour'],1,False,False
alison jean henry michiel,E00320,witness,female,,[],3,True,False
chrestienne a bernard faltin,E00321,witness,female,,['Blamont'],1,False,False
bernard faltin,E00322,witness,unknown,,[],1,False,False
jean clau,E00323,witness,male,,"['Ban', 'Habeaurupt', 'Clingotte']",11,True,False
bietrix bastien vigneron,E00324,witness,female,,[],1,False,False
jehenne nicolas saulnier,E00325,witness,female,,[],1,False,False
hannezo claudon,E00326,witness,female,,[],1,False,False
sebille clau,E00327,witness,female,,[],2,False,False
annel jean simonin,E00328,witness,female,,[],2,False,False
nicolas cherrier,E00329,witness,male,,[],1,False,False
didier simonin,E00330,witness,unknown,,[],1,False,False
henry fournier,E00331,witness,unknown,,[],1,False,False
claudon cesar,E00332,witness,male,,[],1,False,False
noble homme jean hannel,E00333,witness,female,,[],1,False,False
chrestienne chrestien jeune chrestien,E00334,witness,female,,['Prey'],2,False,False
jean henrequel,E00335,witness,male,,[],1,False,False
nicolas chartier,E00336,witness,male,,[],3,True,False
germain claudin,E00337,witness,unknown,,[],1,False,False
didier pierson,E00338,witness,unknown,,[],1,False,False
thiebault jean thiebault,E00339,witness,male,,[],2,False,False
jean persin jeune fils,E00340,witness,male,,[],1,False,False
jean grand colas,E00341,witness,male,,"['Bul', 'Vic']",8,True,False
margueritte nicolas simon,E00342,witness,male,,['Arches'],2,False,False
zabel jean mongeot,E00343,witness,female,,['Prey'],3,True,False
meline anthoine marlier,E00344,witness,female,,[],2,False,False
jean claudon claude,E00345,witness,male,,"['Domjevin', 'Thiaville']",6,True,False
thoussainct thirion,E00346,witness,unknown,,[],1,False,False
mengin godot,E00347,witness,unknown,,[],2,False,False
jennon claudon jacquemin,E00348,witness,female,,[],2,False,False
barbelline colas goudot,E00349,witness,female,,[],1,False,False
jehennon,E00350,witness,female,,"['Mortaigne', 'Robache']",33,True,False
didier connot,E00351,witness,unknown,,[],1,False,False
nicolas vaultrin,E00352,witness,male,,[],2,False,False
estienne connot,E00353,witness,unknown,,[],2,False,False
nicolas simon,E00354,witness,male,,['Moyenmoutier'],3,True,False
nicolas jean gerardin,E00355,witness,male,,['Flin'],2,False,False
colas pierson,E00356,witness,unknown,,[],1,False,False
nicolas chastey,E00357,witness,male,,[],1,False,False
allison,E00358,witness,female,,"['Domjevin', 'Repas']",5,True,False
nicolas mongenan,E00359,witness,male,,[],1,False,False
sebille didier,E00360,witness,female,,['Vacory'],4,True,False
jennon nicolas mongenan,E00361,witness,female,,[],1,False,False
jehenne vannier,E00362,witness,unknown,,[],1,False,False
anthoine grand anthoine,E00363,witness,unknown,,[],1,False,False
jean breton,E00364,witness,male,,[],2,False,False
meline anthoine grand anthoine,E00365,witness,female,,[],1,False,False
michel hellenix,E00366,witness,unknown,,[],1,False,False
bastien bacourt,E00367,witness,male,,[],1,False,False
nicolas mongeron,E00368,witness,male,,[],1,False,False
le maire estienne cougnat,E00369,witness,unknown,,[],1,False,False
nicolas hardier,E00370,witness,male,,[],1,False,False
mre germain haut germain,E00371,witness,unknown,,[],1,False,False
