person1,person2,relationship_type,trial_id,evidence_text,confidence
Jennon,Demenge,spouse_wife,w302,"B 8724 no 2. Witch 302, Jennon femme Demenge le Maire de Raon",1.0
Anthoinette,Didier Chaudron,spouse_wife,w304,"B 8724 no 4. Witch 304, Anthoinette femme Didier Chaudron, de Raon",1.0
Didiere,Nicolas Failly,spouse_widow,w305,"B 8724 no 5. Witch 305, Didiere veuve Nicolas Failly, de Raon",1.0
Margueritte,Cesar,spouse_wife,w306,"B 8726 no 1; witch 306, Margueritte femme Cesar le Charpentier, de la Bourgonce",1.0
Colatte,Colas,spouse_widow,w308,"B 8726 no 3; witch 308, Colatte veuve Colas de la Ruelle alias Girey, de la Bourgonce",1.0
Fleuratte,Anthoine Valdexey,spouse_widow,w309,"B 8730; witch 309, Fleuratte veuve Anthoine Valdexey, de Clefcy",1.0
Jennon,Bastien Jean,spouse_wife,w311,"B 8735 no 4; witch 311, Jennon femme Bastien Jean Simon de Raon",1.0
Sebille,Didier Pescheur,child_daughter,w314,"B 8736; witch 314, Sebille fille Didier Pescheur de la Neufville les Raon",1.0
Margueritte,Didier Perisc,spouse_wife,w315,"B 8741; witch 315, Margueritte femme Didier Perisc de Mouriviller",1.0
Mengotte,Pierre Gascon,spouse_wife,w317,B 8941 no 1. Witch 317; Mengotte femme Pierre Gascon de St. Nicolas.,1.0
Jaulne,Nicolas Vincent,spouse_widow,w318,"B 8941 no 2. Witch 318; Jaulne veuve Nicolas Vincent, de St Nicolas",1.0
Nicole,Mengin Nigal,spouse_widow,w319,"B 8945; witch 319, Nicole veuve Mengin Nigal, de Saint Nicolas",1.0
Barbon,Nicolas Moictrier,spouse_wife,w321,"B 8959 no 1; witch 321, Barbon femme Nicolas Moictrier, de Saint Nicolas",1.0
Agnes,Chrestofle Marcoussan,spouse_wife,w322,"B 8959 no 2; witch 322, Agnes femme Chrestofle Marcoussan, de St Nicolas",1.0
Claudon,Mengin Wannier,spouse_widow,w323,"B 8961 no 1. Witch 323, Claudon veuve Mengin Wannier, de St Nicolas",1.0
Jeanne Petiotte,Pierre Maulgrais,spouse_widow,w329,"B 8986 no 1; witch 329, Jeanne Petiotte veuve Pierre Maulgrais de St Nicolas",1.0
Barbe,Francois Barbier,spouse_widow,w330,"B 8986 no 2; witch 330, Barbe veuve Francois Barbier de Saint Nicolas",1.0
Appoline,Bastien Belz,spouse_wife,w331,"B 9554 no 1; witch 331, Appoline femme Bastien Belz mineur de Ste Marie",1.0
Denisatte,Nicolas Humbert,spouse_wife,w332,"B 9554 no 2; witch 332, Denisatte femme Nicolas Humbert du Grand Rombach",1.0
Jeanne,Alois Humbert,spouse_wife,w333,"B 9554 no 3; witch 333, Jeanne femme Alois Humbert du Grand Rombach",1.0
Barbelline,Guillaume Jean,child_daughter,w334,"B 9573; witch 334, Barbelline fille Guillaume Jean Chaperey de Ste Croix",1.0
Catherine,Jean Diez,spouse_widow,w337,"Vosges G 707 no 2; witch 337, Catherine veuve Jean Diez, de la Bolle",1.0
Marion,Claudel Flandrey,spouse_wife,w338,"Vosges G 708 no 1; witch 338, Marion femme Claudel Flandrey du Faing de Ste",1.0
Jeannon,Georgeon Grand,spouse_wife,w339,"Vosges G 710: witch 339, Jeannon femme Georgeon Grand Didier, de la Rochatte",1.0
Pierrotte Roy,Nicolas Martin,spouse_wife,w340,"Vosges 3 C 239; Witch 340, Pierrotte Roy femme Nicolas Martin, de Badonviller.",1.0
Odille,Claudin Thieriat,spouse_wife,w001,Odille femme Claudin Thieriat,1.0
Barbellon,Nicolas Mulnier,spouse_wife,w001,Barbellon femme Nicolas Mulnier,1.0
Catherine,Didier Moictrier,spouse_wife,w001,Catherine femme Didier Moictrier,1.0
Dyon,Jean Vosgien,spouse_wife,w001,Dyon femme Jean Vosgien,1.0
Magdellaine,Warin Cherrier,spouse_wife,w001,Magdellaine femme Warin Cherrier,1.0
Catherine,Colin Douche,spouse_wife,w001,Catherine femme Colin Douche,1.0
Izabel,Demange Rougier,spouse_wife,w002,Izabel femme Demange Rougier,1.0
Barbellon,Demange Malgrais,spouse_wife,w002,Barbellon femme Demange Malgrais,1.0
Catherine,Nicolas Villaume,spouse_wife,w002,Catherine femme Nicolas Villaume,1.0
